COMPROBANTE	SERIE_COMPROBANTE	RUC_EMISOR	RAZON_SOCIAL_EMISOR	FECHA_EMISION	FECHA_AUTORIZACION	TIPO_EMISION	NUMERO_DOCUMENTO_MODIFICADO	IDENTIFICACION_RECEPTOR	CLAVE_ACCESO	NUMERO_AUTORIZACION	IMPORTE_TOTAL
Comprobante de Retención	101-006-000085861	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	09/11/2022	09/11/2022 18:07:01	NORMAL	15599990935	1792680778001	0911202207099001751400121010060000858610000000016	0911202207099001751400121010060000858610000000016	
Comprobante de Retención	101-006-000085984	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	11/11/2022	11/11/2022 18:07:12	NORMAL	15616186821	1792680778001	1111202207099001751400121010060000859840000000012	1111202207099001751400121010060000859840000000012	
Comprobante de Retención	101-006-000086044	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	16/11/2022	16/11/2022 18:06:11	NORMAL	15654952467	1792680778001	1611202207099001751400121010060000860440000000012	1611202207099001751400121010060000860440000000012	
Comprobante de Retención	101-006-000086145	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	17/11/2022	17/11/2022 18:06:03	NORMAL	15663596557	1792680778001	1711202207099001751400121010060000861450000000016	1711202207099001751400121010060000861450000000016	
Comprobante de Retención	101-006-000086220	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	23/11/2022	24/11/2022 10:06:03	NORMAL	15713747547	1792680778001	2311202207099001751400121010060000862200000000019	2311202207099001751400121010060000862200000000019	
Comprobante de Retención	101-006-000086281	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	24/11/2022	25/11/2022 10:07:05	NORMAL	15721795165	1792680778001	2411202207099001751400121010060000862810000000016	2411202207099001751400121010060000862810000000016	
Comprobante de Retención	101-006-000086502	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	30/11/2022	01/12/2022 10:06:24	NORMAL	15769962801	1792680778001	3011202207099001751400121010060000865020000000011	3011202207099001751400121010060000865020000000011	
Comprobante de Retención	101-006-000086456	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	30/11/2022	01/12/2022 10:06:17	NORMAL	15769961545	1792680778001	3011202207099001751400121010060000864560000000012	3011202207099001751400121010060000864560000000012	
