COMPROBANTE	SERIE_COMPROBANTE	RUC_EMISOR	RAZON_SOCIAL_EMISOR	FECHA_EMISION	FECHA_AUTORIZACION	TIPO_EMISION	NUMERO_DOCUMENTO_MODIFICADO	IDENTIFICACION_RECEPTOR	CLAVE_ACCESO	NUMERO_AUTORIZACION	IMPORTE_TOTAL
Comprobante de Retención	101-006-000084970	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	05/10/2022	05/10/2022 18:07:01	NORMAL	15329713977	1792680778001	0510202207099001751400121010060000849700000000016	0510202207099001751400121010060000849700000000016	
Comprobante de Retención	101-006-000084973	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	05/10/2022	05/10/2022 18:07:03	NORMAL	15329714270	1792680778001	0510202207099001751400121010060000849730000000012	0510202207099001751400121010060000849730000000012	
Comprobante de Retención	101-006-000085136	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	08/10/2022	08/10/2022 18:06:27	NORMAL	15353994444	1792680778001	0810202207099001751400121010060000851360000000013	0810202207099001751400121010060000851360000000013	
Comprobante de Retención	101-006-000085137	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	08/10/2022	08/10/2022 18:06:18	NORMAL	15353993333	1792680778001	0810202207099001751400121010060000851370000000019	0810202207099001751400121010060000851370000000019	
Comprobante de Retención	101-006-000085425	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	20/10/2022	21/10/2022 10:06:02	NORMAL	15447282098	1792680778001	2010202207099001751400121010060000854250000000015	2010202207099001751400121010060000854250000000015	
Comprobante de Retención	101-006-000085423	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	20/10/2022	21/10/2022 10:06:02	NORMAL	15447282076	1792680778001	2010202207099001751400121010060000854230000000014	2010202207099001751400121010060000854230000000014	
Comprobante de Retención	101-006-000085579	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	26/10/2022	26/10/2022 18:06:04	NORMAL	15486536899	1792680778001	2610202207099001751400121010060000855790000000010	2610202207099001751400121010060000855790000000010	
Comprobante de Retención	101-006-000085568	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	26/10/2022	26/10/2022 18:06:02	NORMAL	15486536738	1792680778001	2610202207099001751400121010060000855680000000010	2610202207099001751400121010060000855680000000010	
