COMPROBANTE	SERIE_COMPROBANTE	RUC_EMISOR	RAZON_SOCIAL_EMISOR	FECHA_EMISION	FECHA_AUTORIZACION	TIPO_EMISION	NUMERO_DOCUMENTO_MODIFICADO	IDENTIFICACION_RECEPTOR	CLAVE_ACCESO	NUMERO_AUTORIZACION	IMPORTE_TOTAL
Comprobante de Retención	001-002-000004103	1792084350001	RENGIFO TRANSPORTE PESADO  S.A	07/07/2022	08/08/2022 00:10:01	NORMAL	14876810942	1792680778001	0707202207179208435000120010020000041031234567816	0707202207179208435000120010020000041031234567816	
Comprobante de Retención	101-006-000082684	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	08/07/2022	09/07/2022 11:06:44	NORMAL	14653458108	1792680778001	0807202207099001751400121010060000826840000000018	0807202207099001751400121010060000826840000000018	
Comprobante de Retención	001-001-000006357	0591715712001	NUTRAPEC S.A.	12/07/2022	13/07/2022 17:52:49	NORMAL	14686790903	1792680778001	1207202207059171571200120010010000063572318313310	1207202207059171571200120010010000063572318313310	
Comprobante de Retención	101-006-000082979	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	21/07/2022	21/07/2022 20:06:01	NORMAL	14746471797	1792680778001	2107202207099001751400121010060000829790000000017	2107202207099001751400121010060000829790000000017	
Comprobante de Retención	101-006-000083086	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	22/07/2022	23/07/2022 10:07:26	NORMAL	14757501128	1792680778001	2207202207099001751400121010060000830860000000015	2207202207099001751400121010060000830860000000015	
Comprobante de Retención	101-006-000083084	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	22/07/2022	23/07/2022 10:07:25	NORMAL	14757501095	1792680778001	2207202207099001751400121010060000830840000000014	2207202207099001751400121010060000830840000000014	
Comprobante de Retención	101-006-000083333	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	29/07/2022	29/07/2022 18:07:20	NORMAL	14803391868	1792680778001	2907202207099001751400121010060000833330000000019	2907202207099001751400121010060000833330000000019	
Comprobante de Retención	101-006-000083356	0990017514001	TIENDAS INDUSTRIALES ASOCIADAS (TIA) S.A.	29/07/2022	29/07/2022 18:07:23	NORMAL	14803392694	1792680778001	2907202207099001751400121010060000833560000000014	2907202207099001751400121010060000833560000000014	
